iter	Passed	Remaining
0	2	205
1	3	179
2	5	170
3	6	154
4	7	151
5	9	148
6	10	144
7	12	141
8	13	139
9	15	138
10	16	136
11	18	135
12	19	132
13	21	131
14	22	130
15	24	128
16	26	127
17	27	125
18	29	124
19	30	122
20	32	121
21	33	119
22	35	118
23	36	116
24	38	115
25	39	113
26	41	111
27	42	110
28	44	108
29	45	106
30	47	104
31	48	103
32	50	101
33	51	100
34	53	98
35	54	97
36	55	95
37	57	93
38	58	91
39	59	89
40	61	88
41	61	85
42	62	83
43	63	81
44	64	79
45	65	77
46	66	75
47	67	73
48	68	71
49	69	69
50	70	68
51	71	66
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	77	55
58	78	54
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	82	44
65	83	43
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	88	34
72	89	32
73	89	31
74	90	30
75	91	28
76	92	27
77	92	26
78	93	24
79	94	23
80	95	22
81	95	21
82	96	19
83	97	18
84	97	17
85	98	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	103	8
92	103	7
93	104	6
94	105	5
95	106	4
96	106	3
97	107	2
98	108	1
99	108	0
